"model_name","AUC","TSS","Kappa","Sens","Spec","PCC","D2","thresh","opt_bio10","opt_bio14","opt_occ_prob","bio10_in_range","bio14_in_range"
"gam_500x10_chb",0.994985743836306,0.934816766366635,0.748564982971178,0.981935483870968,0.952881282495667,0.95513140801439,0.490244852386877,0.04,18.1626434326172,114,0.490142015478354,TRUE,TRUE
"glm_500x5_chb",0.995150388550344,0.93530706658467,0.779195533345136,0.974193548387097,0.961113518197574,0.962126511441991,0.725598986862102,0.25,18.1626434326172,80.7131782945736,0.856786514461842,TRUE,TRUE
"gam_500x5_chb",0.995111673282272,0.93670570805613,0.780360728419832,0.975483870967742,0.961221837088388,0.962326371539922,0.603109387683178,0.09,18.1626434326172,68.4496124031008,0.52358514223892,TRUE,TRUE
"glm_500x3_chb",0.99484066640577,0.935297562475541,0.77423202339125,0.975483870967742,0.959813691507799,0.961027280903368,0.738170783516776,0.3,18.1626434326172,83.3410852713178,0.92376047443539,TRUE,TRUE
"gam_500x3_chb",0.995029350925253,0.936460557947112,0.764719350166578,0.979354838709677,0.957105719237435,0.958828819826122,0.684594240727909,0.12,18.1626434326172,114,0.73368571369588,TRUE,TRUE
"glm_500x1_chb",0.995134874489853,0.93909249734444,0.738704296099199,0.989677419354839,0.949415077989601,0.952533226741281,0.750407956335139,0.23,18.1626434326172,76.3333333333333,0.931369818000636,TRUE,TRUE
"gam_500x1_chb",0.995461508358025,0.940458852798121,0.776984013895378,0.980645161290323,0.959813691507799,0.96142700109923,0.740533063073872,0.28,18.1626434326172,77.2093023255814,0.940999010566192,TRUE,TRUE
"glm_1000x10_chb",0.994323803493311,0.940502832062592,0.773839522921091,0.979919678714859,0.960583153347732,0.962026581393025,0.731317446835481,0.31,17.3775860687782,71.0387596899225,0.912058413502341,TRUE,TRUE
"gam_1000x10_chb",0.993651568115515,0.931867571076242,0.788286594928498,0.966532797858099,0.965334773218143,0.96542420305786,0.527791781477468,0.06,18.1103446565825,124,0.432866734253224,TRUE,FALSE
"glm_1000x5_chb",0.994358788646306,0.94240388479765,0.78776806430081,0.978580990629183,0.963822894168467,0.964924552813031,0.739479068883684,0.32,17.3775860687782,73.8759689922481,0.926971867417488,TRUE,TRUE
"gam_1000x5_chb",0.994023104657652,0.939746892537753,0.770486833826204,0.979919678714859,0.959827213822894,0.961327071050265,0.653785231597873,0.09,18.1103446565825,124,0.70058266822623,TRUE,FALSE
"glm_1000x3_chb",0.994203668525795,0.93914376006546,0.789101848246552,0.974564926372155,0.964578833693305,0.965324273008894,0.734038533571935,0.33,17.3775860687782,63.4728682170543,0.909549798578225,TRUE,TRUE
"gam_1000x3_chb",0.993714599217605,0.936464359959637,0.761266311997519,0.978580990629183,0.957883369330454,0.959428400119916,0.70729155313507,0.14,18.1103446565825,49.2868217054264,0.711119083205254,TRUE,TRUE
"glm_1000x1_chb",0.994343320004279,0.942059526804121,0.802758294279076,0.974564926372155,0.967494600431965,0.968022384330968,0.736140314558294,0.33,18.1103446565825,69.1472868217054,0.909941227833384,TRUE,TRUE
"gam_1000x1_chb",0.994401869537184,0.941215979830047,0.782348427906485,0.978580990629183,0.962634989200864,0.963825322274408,0.732750663952201,0.3,18.1103446565825,69.1472868217054,0.905816357729245,TRUE,TRUE
"rf_20x10",0.956257596308222,0.821298328868564,0.684432789479102,0.868489583333333,0.952808745535231,0.946337563705406,0.257777111511691,0.02,21.9218384315228,39.6666666666667,0.742178174603174,TRUE,TRUE
"rf_20x10_chb",0.977552275002706,0.828403766190425,0.52147886464885,0.940104166666667,0.888299599523758,0.89227540721495,0.122803432141081,0,18.370114425133,50.1782945736434,0.810830952380952,TRUE,TRUE
"rf_20x5",0.898555390757477,0.713303912084641,0.383955260693104,0.87890625,0.834397662084641,0.83781353052863,0.168614869551291,0.01,20.7379304293928,38.7906976744186,0.766955555555555,TRUE,TRUE
"rf_20x5_chb",0.510093999733918,0.331865371432695,0.308479751745621,0.395833333333333,0.936032038099361,0.894573798341161,-0.264736451254023,0.16,16.5942524219381,32.6589147286822,0.867583333333333,TRUE,FALSE
"rf_20x3",0.968309019509687,0.845453320615507,0.617077584857248,0.919270833333333,0.926182487282173,0.925652043569501,0.463433797963314,0.05,16.5942524219381,36.1627906976744,0.903149999999999,TRUE,TRUE
"rf_20x3_chb",0.543445668497673,0.418780244299527,0.374715942247018,0.483072916666667,0.935707327632861,0.900969321474968,-0.0924084442167055,0.14,16.5942524219381,35.2868217054264,0.888666666666667,TRUE,TRUE
"rf_20x1",0.984554830970163,0.91937456028791,0.758991445992685,0.9609375,0.95843706028791,0.95862895972819,0.551069621918193,0.17,17.1862064230031,37.0387596899225,0.945966666666667,TRUE,TRUE
"rf_20x1_chb",0.940785368072843,0.860889047110077,0.727192912072567,0.90234375,0.958545297110077,0.954232037573698,0.0821637364824875,0.23,17.7781604240681,38.7906976744186,0.895816666666666,TRUE,TRUE
